
## FlyBase Gene Mapping Table
## Generated: Sat Apr  6 20:50:14 2024
## Using datasource: dbi:Pg:dbname=fb_2024_02_reporting;host=flysql25;port=5432...

##organism_abbreviation	current_symbol	primary_FBid	recombination_loc	cytogenetic_loc	sequence_loc
Dmel	arr	FBgn0000119	2-68	50A9-50A11	2R:13453640..13483229(-1)
Dmel	Arr1	FBgn0000120	2-53	36E3-36E3	2L:18078269..18081307(1)
Dmel	Arr2	FBgn0000121	3-26	66D9-66D9	3L:8647261..8648936(-1)
Dmel	Ars-region1	FBgn0000123			
Dmel	Ars-region2	FBgn0000124			
Dmel	Ars-region3	FBgn0000125			
Dmel	Ars-region5	FBgn0000127			
Dmel	Ars-region6	FBgn0000128			
Dmel	Ars-region7	FBgn0000129			
Dmel	Ars-region8	FBgn0000130			
Dmel	Ars-region9	FBgn0000131			
Dmel	Ars-region10	FBgn0000132			
Dmel	Ars-region11	FBgn0000133			
Dmel	Ars-region12	FBgn0000134	1-[0.0]	1A1-1A1	
Dmel	arth	FBgn0000135	1-0.0	1A8-1B1	
Dmel	as	FBgn0000136	3-[43]	72D12-73C4	
Dmel	ase	FBgn0000137	1-0	1B3-1B3	X:460747..463176(1)
Dmel	ash2	FBgn0000139	3-85	96A13-96A13	3R:24650125..24653376(1)
Dmel	asp	FBgn0000140	3-85	96A19-96A20	3R:24753849..24760513(1)
Dmel	ascutex	FBgn0000141	1-26		
Dmel	at	FBgn0000143	2-60.1		
Dmel	Attenuated	FBgn0000144	1-	16A4-16A5	
Dmel	aub	FBgn0000146	2-44	32C1-32C1	2L:10997819..11001476(-1)
Dmel	aurA	FBgn0000147	3-51	87A3-87A3	3R:11963124..11964826(1)
Dmel	aw	FBgn0000148	1-32		
Dmel	aw-b	FBgn0000149	1-38-39		
Dmel	awd	FBgn0000150	3-102	100D2-100D2	3R:31745172..31746077(-1)
Dmel	awu	FBgn0000151	2-53.7		
Dmel	Axs	FBgn0000152	1-55	15A1-15A1	X:16680089..16683895(-1)
Dmel	b	FBgn0000153	2-49	34D1-34D1	2L:13821248..13823979(1)
Dmel	Bar	FBgn0000154	1-57.0	16A1-16A1	
Dmel	Dll	FBgn0000157	2-107	60E2-60E2	2R:24814822..24835667(1)
Dmel	bam	FBgn0000158	3-87	96C7-96C8	3R:25243039..25245109(-1)
Dmel	bas	FBgn0000160	1-50.7		
Dmel	bat	FBgn0000161	2-71.0		
Dmel	baton	FBgn0000162	2-52		
Dmel	baz	FBgn0000163	1-57	15F1-15F1	X:17160006..17200728(1)
Dmel	bb	FBgn0000164		h26-h32	
Dmel	bcd	FBgn0000166	3-48	84A5-84A5	3R:6755842..6759466(-1)
Dmel	bch	FBgn0000167	3-46		
Dmel	bd	FBgn0000168	2-56.1	[38E3--51A8] Left limit from recombination mapping relative to Bl (FBrf0063544) Right limit from recombination mapping relative to L (FBrf0063544)	
Dmel	bef	FBgn0000170	1-		
Dmel	ben	FBgn0000173	1-47	12D2-12D2	X:13996345..13999805(1)
Dmel	ber	FBgn0000174	1-52.4		
Dmel	bf	FBgn0000175	3-95		
Dmel	Bg	FBgn0000176	1-51.6	[>13F1] Left limit from recombination mapping relative to sd (citation unavailable)	
Dmel	bh	FBgn0000177	3-81		
Dmel	bi	FBgn0000179	1-8	4C3-4C4	X:4412856..4485647(1)
Dmel	bib	FBgn0000180	2-38	30F5-30F5	2L:9984645..9995538(1)
Dmel	bic	FBgn0000181	2-67	49D6-49D6	2R:12870249..12871794(1)
Dmel	BicC	FBgn0000182	2-51	35E2-35E2	2L:16042047..16048757(1)
Dmel	BicD	FBgn0000183	2-53	36C9-36C9	2L:17459605..17473215(-1)
Dmel	BicF	FBgn0000184	3-		
Dmel	bie	FBgn0000185	2-97		
Dmel	bis	FBgn0000187		7B6-7B7	
Dmel	bk	FBgn0000189	1-59.8		
Dmel	Bkd	FBgn0000190	2-65	[43E18--52D7] Left limit from recombination mapping relative to cn (FBrf0042284) Right limit from recombination mapping relative to c (FBrf0042284)	
Dmel	bkl	FBgn0000191	1-59.9		
Dmel	Bkm	FBgn0000192			
Dmel	Bl	FBgn0000193	2-54.8	38B5-38B9	
Dmel	bla	FBgn0000194	1-43.2		
Dmel	blc	FBgn0000195	2-20		
Dmel	bald	FBgn0000196	3-48.1	[<84B6] Right limit from recombination mapping relative to Ki (citation unavailable)	
Dmel	Ble	FBgn0000197	3-94		
Dmel	bly	FBgn0000200	1-28.3	8A5-9A2	
Dmel	bn	FBgn0000201	3-72		
Dmel	bo	FBgn0000202	2-12.5		
Dmel	bod	FBgn0000203	3-48.3		
Dmel	bord	FBgn0000204	1-[66]		
Dmel	bos	FBgn0000205	3-0.0		
Dmel	boss	FBgn0000206	3-89	96F8-96F8	3R:25961994..25966948(1)
Dmel	bot	FBgn0000207	2-20		
Dmel	Bowed-d	FBgn0000208	2-55.1		
Dmel	Bpt	FBgn0000209	3-66.4	91F13-92C2	
Dmel	bra	FBgn0000211	3-		
Dmel	brm	FBgn0000212	3-43	72C1-72C1	3L:15970082..15982869(-1)
Dmel	brb	FBgn0000213	1-52.9		
Dmel	brc	FBgn0000214	1-0.0	1C3-1D4	
Dmel	broadened	FBgn0000215	1-33		
Dmel	Brd	FBgn0000216	3-42	71A4-71A4	3L:14972667..14973198(1)
Dmel	bre	FBgn0000217	1-24.6		
Dmel	brh	FBgn0000218	2-61		
Dmel	bright	FBgn0000219	2-54.3		
Dmel	brn	FBgn0000221	1-6	4A5-4A5	X:4104342..4105791(1)
Dmel	brw	FBgn0000222	1-39.8		
Dmel	Bsb	FBgn0000225	3-100.6		
Dmel	bsc	FBgn0000226	1-1.1		
Dmel	Elba1	FBgn0000227	2-13	25A3-25A3	2L:4683052..4684461(-1)
Dmel	Nin	FBgn0000228	2-16	25D2-25D3	2L:5271728..5278548(-1)
Dmel	bsk	FBgn0000229	2-40	31B1-31B1	2L:10247502..10250501(-1)
Dmel	bsp	FBgn0000230	2-40.6		
Dmel	btd	FBgn0000233	1-29	8F10-8F10	X:9694186..9697558(1)
Dmel	btdl	FBgn0000234	1-64.8	18B9-19A1	
Dmel	btm	FBgn0000235	3-17		
Dmel	bu	FBgn0000236	1-58		
Dmel	bul	FBgn0000237	3-43.6	73A3-73A3	
Dmel	buo	FBgn0000238	2-57.1		
Dmel	bur	FBgn0000239	2-54	39A7-39B1	2L:21174182..21179683(-1)
Dmel	bv	FBgn0000240	3-104.3	100B2-100C3	
Dmel	bw	FBgn0000241	2-103	59E2-59E3	2R:23527805..23538499(-1)
Dmel	Beadexoid	FBgn0000243	1-45		
Dmel	by	FBgn0000244	3-48	85D19-85D22	3R:9528238..9533011(-1)
Dmel	c	FBgn0000245	2-75.5	52D3-52D7	
Dmel	c(3)G	FBgn0000246	3-58	89A5-89A5	3R:15789473..15792579(-1)
Dmel	ca	FBgn0000247	3-99	99C2-99C2	3R:29806811..29815047(1)
Dmel	cab	FBgn0000248	1-36.6	11A2-11A3	
Dmel	cact	FBgn0000250	2-52	35F1-35F1	2L:16313036..16326207(-1)
Dmel	cad	FBgn0000251	2-54	38E9-38E10	2L:20770731..20783135(1)
Dmel	cal	FBgn0000252	3-59.5		
Dmel	Cam	FBgn0000253	2-66	48F1-48F1	2R:12259398..12278809(1)
Dmel	Cbp82F	FBgn0000254	3-[47.1]	82F-82F	
Dmel	capu	FBgn0000256	2-11	24C8-24C9	2L:3872646..3902860(-1)
Dmel	car	FBgn0000257	1-63	18D1-18D1	X:19566019..19569401(1)
Dmel	CkIIbeta	FBgn0000259	1-36	10E3-10E3	X:11792533..11801587(1)
Dmel	cast	FBgn0000260	1-36		
Dmel	Cat	FBgn0000261	3-45	75E1-75E1	3L:18822604..18828188(1)
Dmel	cau	FBgn0000262	1-[0.4]	2A2-2B18	
Dmel	cb	FBgn0000263	1-16.5		
Dmel	Cubl	FBgn0000264	1-13		
Dmel	cbf	FBgn0000267	1-45		
Dmel	ccd	FBgn0000270	1-15		
Dmel	ccw	FBgn0000271	1-23.4		
Dmel	Pka-C1	FBgn0000273	2-36	30C5-30C5	2L:9682315..9699297(-1)
Dmel	Pka-C2	FBgn0000274	3-101	100A2-100A2	3R:30695537..30697138(-1)
Dmel	CecA1	FBgn0000276	3-100	99E2-99E2	3R:30210874..30211273(1)
Dmel	CecA2	FBgn0000277	3-100	99E2-99E2	3R:30212156..30212568(1)
Dmel	CecB	FBgn0000278	3-100	99E2-99E2	3R:30213315..30213797(-1)
Dmel	CecC	FBgn0000279	3-100	99E2-99E2	3R:30216484..30216938(1)
Dmel	Cec-Psi1	FBgn0000280	3-100	99E2-99E2	3R:30211527..30211753(1)
Dmel	Cec2	FBgn0000281	3-100	99E2-99E2	3R:30212903..30213142(1)
Dmel	cel	FBgn0000282	1-48.5		
Dmel	Cp190	FBgn0000283	3-56	88E9-88E11	3R:15270432..15275241(-1)
Dmel	cf	FBgn0000284	1-65.6		
Dmel	Cf2	FBgn0000286	2-14	25B1-25B1	2L:4876891..4883107(-1)
Dmel	salr	FBgn0000287	2-44	32E4-32F1	2L:11358873..11373636(1)
Dmel	cff	FBgn0000288	1-39.09	[>3D4] Left limit from recombination mapping relative to dnc (FBrf0040946)	
Dmel	cg	FBgn0000289	2-69	50E1-50E1	2R:14173693..14182838(1)
Dmel	Col4a1	FBgn0000299	2-15	25C1-25C1	2L:5029609..5037279(1)
Dmel	cgd	FBgn0000300	1-40	11B12-12B7	
Dmel	ch	FBgn0000301	2-73.8		
Dmel	cha	FBgn0000302	2-84		
Dmel	ChAT	FBgn0000303	3-64	91C1-91C5	3R:18705501..18732344(1)
Dmel	chal	FBgn0000304	2-37		
Dmel	ch-b	FBgn0000305	1-23.8		
Dmel	che	FBgn0000306	2-62.0		
Dmel	chif	FBgn0000307	2-52	35F1-35F12	2L:16342430..16352628(-1)
Dmel	chic	FBgn0000308	2-18	26A5-26B2	2L:5972115..5981018(-1)
Dmel	chl	FBgn0000309	2-60.8		
Dmel	chaetae	FBgn0000312	2-65.6		
Dmel	cin	FBgn0000316	1-0	1A1-1A1	X:255674..258469(1)
Dmel	ck	FBgn0000317	2-50	35B8-35B9	2L:15044963..15057862(-1)
Dmel	cl	FBgn0000318	2-17	25E5-25E5	2L:5520135..5521382(1)
Dmel	Chc	FBgn0000319	1-52	13F5-13F7	X:15827986..15835490(-1)
Dmel	eya	FBgn0000320	2-21	26E1-26E2	2L:6527447..6546976(-1)
Dpse	Dpse\clk7	FBgn0000322	1-		
Dpse	Dpse\clk10	FBgn0000323	1-		
Dmel	clm	FBgn0000324	1-32.6		
Dmel	clo	FBgn0000325	2-77		
Dmel	clt	FBgn0000326	2-96	57F4-57F4	2R:21617061..21619079(-1)
Dmel	clv-1	FBgn0000327	1-0.0		
Dmel	clv-2	FBgn0000328	1-[37]	11A7-11A8	
Dmel	clw	FBgn0000329	1-21	7D1-7D21	
Dmel	cm	FBgn0000330	1-18	6E4-6E4	X:7009006..7011145(-1)
Dmel	Crimp	FBgn0000331	3-43.5		
Dmel	Cma	FBgn0000332	3-57.5	[88C2--89B9] Left limit from recombination mapping relative to jvl (FBrf0063385) Right limit from recombination mapping relative to Sb (FBrf0063385)	
Dmel	cmd	FBgn0000333	3-68.2		
Dmel	cml	FBgn0000334	2-71.2		
Dmel	cmp	FBgn0000335	3-93		
Dmel	cmt	FBgn0000336	3-57.2		
Dmel	cn	FBgn0000337	2-57	43E16-43E16	2R:7782797..7785067(-1)
Dmel	cni	FBgn0000339	2-52	35F1-35F1	2L:16309292..16310726(-1)
Dmel	Coa	FBgn0000341	3-7.7		
Dmel	coc	FBgn0000342	1-61.5		
Dmel	coi	FBgn0000343	1-22.1		
Dmel	compressed	FBgn0000344	3-48.5		
Dmel	com-d	FBgn0000345	3-68.5		
Dmel	comt	FBgn0000346	1-42	11E8-11E8	X:13259021..13262488(1)
Dmel	condensed	FBgn0000347	1-27.1	8A1-8C2	
Dmel	cop	FBgn0000348	1-43.3		
Dmel	corr	FBgn0000350	2-27.5		
Dmel	cort	FBgn0000351	2-21	26F6-26F6	2L:6674682..6676635(-1)
Dmel	cos	FBgn0000352	2-56	43B1-43B2	2R:7382176..7387115(-1)
Dmel	cp	FBgn0000354	3-[44]	75D4-76B9	
Dmel	Cp15	FBgn0000355	3-26	66D12-66D12	3L:8728481..8729066(1)
Dmel	Cp16	FBgn0000356	3-26	66D12-66D12	3L:8731944..8732599(1)
Dmel	Cp18	FBgn0000357	3-26	66D12-66D12	3L:8726791..8727613(1)
Dmel	Cp19	FBgn0000358	3-26	66D12-66D12	3L:8729865..8730604(1)
Dmel	Cp36	FBgn0000359	1-23	7F1-7F1	X:8479319..8480523(1)
Dmel	Cp38	FBgn0000360	1-23	7F1-7F1	X:8481837..8483311(1)
Dmel	Cp70	FBgn0000361	1-[0.4]	1E3-2B4	
Dmel	cpl	FBgn0000362	1-0.0		
Dmel	Cpt	FBgn0000364	2-43.7		
Dmel	cpw	FBgn0000365	1-2.5	[>3C6] Left limit from recombination mapping relative to vt (FBrf0023492)	
Dmel	cr-3	FBgn0000366	3-36.5		
Dmel	cra	FBgn0000367	2-77		
Dmel	cr-b	FBgn0000369	2-24		
Dmel	crc	FBgn0000370	2-54	39C2-39C3	2L:21310866..21319527(1)
Dmel	crib	FBgn0000371	2-[57]	42C7-43E14	
Dmel	cripA	FBgn0000372	1-1.8		
Dmel	cripB	FBgn0000373	1-8.8		
Dmel	cripC	FBgn0000374	1-57		
Dmel	crooked-setae	FBgn0000375	1-60.1		
Dmel	crm	FBgn0000376	1-1.5	3B3-3B4	X:2734248..2738773(-1)
Dmel	crn	FBgn0000377	1-0.9	2F2-2F2	X:2247594..2249983(-1)
Dmel	crt	FBgn0000378	1-40.3	11F2-12A1	
Dmel	cru	FBgn0000379	2-52.5		
Dmel	cs	FBgn0000380	1-56		
Dmel	csw	FBgn0000382	1-0.6	2D1-2D2	X:2094234..2115701(1)
Dmel	cta	FBgn0000384	2-54	-	2L:22981816..22992951(1)
Dmel	ctl	FBgn0000385	1-25.8	8A5-9A2	
Dmel	ctt	FBgn0000386	1-0.3		
Dmel	Curl	FBgn0000388	2-54.6	[>38B5] Left limit from recombination mapping relative to pr (citation unavailable)	
Dmel	Cu-3	FBgn0000389	3-66.0		
Dmel	cui	FBgn0000391	2-23.4		
Dmel	cup	FBgn0000392	2-21	26F5-26F6	2L:6663664..6674780(1)
Dmel	cur	FBgn0000393	3-30		
Dmel	cv	FBgn0000394	1-12	5A13-5A13	X:5690002..5693084(1)
Dmel	cv-2	FBgn0000395	2-94	57D12-57D13	2R:21355015..21379464(-1)
Dmel	cv-b	FBgn0000396	3-65		
Dmel	cvl-5	FBgn0000399	3-48.1		
Dmel	cvw	FBgn0000400	1-58.2		
Dmel	cx	FBgn0000401	1-13.6	5A7-5A13	
Dmel	cxb	FBgn0000402	2-73		
Dmel	CycA	FBgn0000404	3-37	68E1-68E1	3L:11826719..11833578(-1)
Dmel	CycB	FBgn0000405	2-101	59B2-59B2	2R:22803521..22806948(-1)
Dmel	Cyt-b5-r	FBgn0000406	2-53	36B1-36B1	2L:16788774..16790721(-1)
Dmel	D	FBgn0000411	3-42	70D3-70D3	3L:14175610..14178620(-1)
Dmel	D1	FBgn0000412	3-48	85D1-85D1	3R:9238083..9240654(-1)
Dmel	Dab	FBgn0000414	3-44	73C1-73C1	3L:16712126..16724575(1)
Dmel	dal	FBgn0000415	2-44	31F1-32D4	
Dmel	Sap-r	FBgn0000416	3-101	100A6-100A7	3R:30883464..30889062(-1)
Dmel	db	FBgn0000419	3-44.4	73C1-73D2	
Dmel	dbl	FBgn0000420	1-23.0		
Dmel	displaced	FBgn0000421	1-24.3	8A1-8B8	
Dmel	Ddc	FBgn0000422	2-54	37C1-37C1	2L:19116483..19120306(-1)
Dmel	ddl	FBgn0000423	1-27.2		
Dmel	de	FBgn0000424	1-56		
Dmel	DebA	FBgn0000425		48E8-48E8	
Dmel	SmF	FBgn0000426	2-66	48E6-48E7	2R:12183844..12184310(-1)
Dmel	dec	FBgn0000427	1-21	7C1-7C1	X:7867161..7873222(-1)
Dmel	den	FBgn0000431	2-[39]	31B-34A	
Dmel	dep	FBgn0000432	1-18		
Dmel	depl	FBgn0000433	1-23		
Dmel	der	FBgn0000434	1-57.2		
Dmel	df	FBgn0000437	1-32.5		
Dmel	dfa	FBgn0000438	1-13.9		
Dmel	Dfd	FBgn0000439	3-48	84A5-84A5	3R:6791836..6802428(1)
Dmel	dft	FBgn0000440	1-33.7		
Dmel	dfw	FBgn0000441	1-21.6		
Dmel	Pkg21D	FBgn0000442	2-1.5	21E2-21E2	2L:786153..790798(-1)
Dmel	dg-a	FBgn0000444	2-75.5		
Dmel	dhm	FBgn0000446	3-43.2	[>72D1] Left limit from recombination mapping relative to th (citation unavailable)	
Dmel	Dhod	FBgn0000447	3-48	85A5-85A5	3R:8651391..8652916(-1)
Dmel	Hr3	FBgn0000448	2-62	46F5-46F7	2R:10203995..10237348(-1)
Dmel	dib	FBgn0000449	3-10	64A5-64A5	3L:4062292..4064551(1)
Dmel	dic	FBgn0000450	3-46.0		
Dmel	ect	FBgn0000451	3-32	67D10-67D10	3L:10190276..10201837(-1)
Dmel	dil	FBgn0000452	2-57		
Dmel	Dip-B	FBgn0000454	3-54	87F13-87F13	3R:13782288..13785676(1)
Dmel	Dip-C	FBgn0000455	3-52	87B9-87B9	3R:12411809..12413759(-1)
Dmel	dis	FBgn0000458	1-23		
Dmel	disco	FBgn0000459	1-53	14B3-14B3	X:16210598..16216750(-1)
Dmel	Daughter-killer	FBgn0000460	3-34.2	67E3-67F2	
Dmel	Delta	FBgn0000463	3-66	92A1-92A2	3R:19302731..19326217(-1)
Dmel	Lar	FBgn0000464	2-54	37F2-38A2	2L:19586623..19732069(1)
Dmel	dlmd	FBgn0000469	3-18-19		
Dmel	dlv	FBgn0000470	1-25.9		
Dmel	Dly	FBgn0000471	3-52.7	[>86D3] Left limit from recombination mapping relative to cu (citation unavailable)	
Dmel	dn	FBgn0000475	3-50		
Dmel	DNaseII	FBgn0000477	3-62	90E1-90E1	3R:18019375..18021161(1)
Dmel	DNase2	FBgn0000478	3-45.9	[73A4--77B3] Left limit from recombination mapping relative to st (citation unavailable) Right limit from recombination mapping relative to in (citation unavailable)	
Dmel	dnc	FBgn0000479	1-2	3C9-3D1	X:3176440..3343767(1)
Dmel	dor	FBgn0000482	1-0.2	2B5-2B5	X:1665052..1668451(1)
Dmel	dotted	FBgn0000483	1-29.2		
Dmel	double	FBgn0000484	1-0.0		
Dmel	dow	FBgn0000485	1-8.0		
Dmel	Pka-C3	FBgn0000489	3-43	72B1-72B2	3L:15925805..15954797(-1)
Dmel	dpp	FBgn0000490	2-6	22F1-22F3	2L:2428372..2459823(1)
Dmel	droopy	FBgn0000491	2-71.2	[<51A1] Right limit from recombination mapping relative to L (citation unavailable)	
Dmel	Dr	FBgn0000492	3-99	99B3-99B3	3R:29556386..29565244(1)
Dmel	drb	FBgn0000493	3-47.7		
Dmel	drg	FBgn0000495	2-38		
Dmel	drw	FBgn0000496	1-52.3		
Dmel	dsh	FBgn0000499	1-34	10B4-10B5	X:11355881..11358724(1)
Dmel	Dsk	FBgn0000500	3-47.1	81F6-81F6	3R:4189692..4190260(-1)
Dmel	dsp	FBgn0000501	1-55.6	15A4-16C2	
Dmel	dsr	FBgn0000502	2-90		
Dmel	dss	FBgn0000503	1-27.3		
Dmel	dsx	FBgn0000504	3-48	84E5-84E6	3R:7924323..7967408(-1)
Dmel	dsx-c21C	FBgn0000505	2-[0.1]	21C7-21C8	
Dmel	dsx-c50F	FBgn0000506	2-[70]	50F2-50F3	
Dmel	anon-61Fa	FBgn0000507	3-[0]	61F-61F	
Dmel	dsx-c88D	FBgn0000508	3-[57]	88D5-88D6	
Dmel	anon-100Ca	FBgn0000509	3-[102]	100C1-100C4	
Dmel	Dt	FBgn0000510	2-10		
Dmel	du	FBgn0000511	3-47		
Dmel	dv	FBgn0000512	3-20.0	65A5-65E1	
Dmel	dvr	FBgn0000514	1-28.1	[>8D8] Left limit from non-inclusion within Df(1)t282-1 (citation unavailable)	
Dmel	dvw	FBgn0000515	1-13.3		
Dmel	dw	FBgn0000516	3-50		
Dmel	dw-24E	FBgn0000517	2-13	24E4-24F1	
Dmel	dw-b	FBgn0000518	3-12		
Dmel	dwf	FBgn0000519	1-13.3		
Dmel	dwg	FBgn0000520	1-1.5	3B3-3B3	X:2727698..2730042(1)
Dmel	dwu	FBgn0000522	1-58.3		
Dmel	dwx	FBgn0000523	1-32.2		
Dmel	dx	FBgn0000524	1-17	6B1-6B2	X:6533999..6538575(1)
Dmel	dusky-body	FBgn0000526	1-44.6		
Dmel	e	FBgn0000527	3-71	93C7-93D1	3R:21229839..21237177(-1)
Dmel	E81	FBgn0000528	3-[39]	69C-69D	
Dmel	bsh	FBgn0000529	2-54	38A3-38A3	2L:19765776..19769067(-1)
Dmel	E103	FBgn0000531	3-[63]	90F-90F	
